,Best Picture,Certificate (GB),Certificate (US),Production Companies (1st),Title,IMDB Rating,genres,plot_keywords,genres_encoded,genres_decode,production_company_encoded,plot_keywords_encoded,plot_keywords_decode
2893,,18,R,Fifth Avenue Entertainment,Children of the Corn II: The Final Sacrifice,4.3,"['Horror', 'Thriller']","['town', 'son', 'mysterious']",[12 21],['Horror' 'Thriller'],3288,[85 76 58],['town' 'son' 'mysterious']
2894,,18,R,Alliance,The Lords of Salem,5.2,"['Horror', 'Thriller']","['town', 'past']",[12 21],['Horror' 'Thriller'],520,[85 63],['town' 'past']
2895,,18,R,Twisted Pictures,Saw V,5.8,"['Horror', 'Thriller']","['agent', 'group', 'people', 'past']",[12 21],['Horror' 'Thriller'],7613,[ 0 35 64 63],['agent' 'group' 'people' 'past']
2896,,18,R,Orion Pictures,Wolfen,6.3,"['Horror', 'Thriller']","['york', 'new']",[12 21],['Horror' 'Thriller'],5809,[98 59],['york' 'new']
2897,,18,R,Deco Filmworks,Shallow Ground,4.9,"['Horror', 'Thriller']","['true', 'murder', 'dead', 'living', 'boy', 'girl', 'teenage', 'local', 'year']",[12 21],['Horror' 'Thriller'],2649,[87 57 13 47  4 33 83 48 96],['true' 'murder' 'dead' 'living' 'boy' 'girl' 'teenage' 'local' 'year']
2898,,18,R,Cross Creek Pictures,Clown,5.7,"['Horror', 'Thriller']","['finds', 'father', 'son']",[12 21],['Horror' 'Thriller'],2459,[26 23 76],['finds' 'father' 'son']
2899,,18,R,TriStar Pictures,"Silent Night, Deadly Night",5.8,"['Horror', 'Thriller']",['just'],[12 21],['Horror' 'Thriller'],7566,[43],['just']
2900,,18,Unrated,Freak Show Entertainment,Run! Bitch Run!,4.1,"['Horror', 'Thriller']",[],[12 21],['Horror' 'Thriller'],3541,[],[]
2901,,18,Unrated,Backup Media,Even Lambs Have Teeth,5.2,"['Horror', 'Thriller']","['small', 'town', 'group', 'women', 'young']",[12 21],['Horror' 'Thriller'],1072,[75 85 35 93 99],['small' 'town' 'group' 'women' 'young']
2902,,18,Unrated,Alyson Richards Productions,The Retreat,4.9,"['Horror', 'Thriller']","['tries', 'murder', 'relationship', 'couple', 'lives', 'group', 'goes']",[12 21],['Horror' 'Thriller'],569,[86 57 68  9 46 35 34],['tries' 'murder' 'relationship' 'couple' 'lives' 'group' 'goes']
2903,,18,Unrated,Automatik Entertainment,Monster Party,5.5,"['Horror', 'Thriller']",['young'],[12 21],['Horror' 'Thriller'],954,[99],['young']
2904,,18,,Selective Collective,Happy Hunting,5.1,"['Horror', 'Western']",[],[12 23],['Horror' 'Western'],6747,[],[]
2905,,PG,R,Quantum Entertainment,Vlad,3.4,"['Horror', 'Thriller']","['death', 'american']",[12 21],['Horror' 'Thriller'],6266,[14  1],['death' 'american']
2906,,12,PG,Golan-Globus Productions,Salsa,4.7,"['Music', 'Romance']","['best', 'young', 'friend']",[13 18],['Music' 'Romance'],3771,[ 3 99 29],['best' 'young' 'friend']
2907,,,,Neverdie Studios,Lost Angelas,4.1,"['Mystery', 'Thriller']","['best', 'ex', 'years', 'secret', 'discovers']",[15 21],['Mystery' 'Thriller'],5574,[ 3 20 97 73 16],['best' 'ex' 'years' 'secret' 'discovers']
2908,,,R,BoulderLight Pictures,Gone in the Night,4.9,"['Mystery', 'Thriller']","['woman', 'couple', 'young', 'mysterious']",[15 21],['Mystery' 'Thriller'],1553,[92  9 99 58],['woman' 'couple' 'young' 'mysterious']
2909,,,R,Hope Messenger Media,The Ravine,4.6,"['Mystery', 'Thriller']","['true', 'story', 'crime', 'friends', 'family']",[15 21],['Mystery' 'Thriller'],4157,[87 79 10 30 22],['true' 'story' 'crime' 'friends' 'family']
2910,,12,Not Rated,RIVR Media,The Devil You Know,3.3,"['Mystery', 'Thriller']","['mother', 'daughter', 'past']",[15 21],['Mystery' 'Thriller'],6297,[56 11 63],['mother' 'daughter' 'past']
2911,,12A,PG-13,Columbia Pictures,The Da Vinci Code,6.6,"['Mystery', 'Thriller']","['murder', 'years', 'secret']",[15 21],['Mystery' 'Thriller'],2294,[57 97 73],['murder' 'years' 'secret']
2912,,15,,Psychopia Pictures,The Dark Red,5.2,"['Mystery', 'Thriller']","['woman', 'secret', 'young']",[15 21],['Mystery' 'Thriller'],6234,[92 73 99],['woman' 'secret' 'young']
2913,,15,R,The Fort,Beneath the Dark,5.0,"['Mystery', 'Thriller']","['couple', 'secret', 'discover']",[15 21],['Mystery' 'Thriller'],7361,[ 9 73 15],['couple' 'secret' 'discover']
2914,,15,R,Amazon Studios,All the Old Knives,6.1,"['Mystery', 'Thriller']",['agent'],[15 21],['Mystery' 'Thriller'],582,[0],['agent']
2915,,15,R,Stage 6 Films,Conspiracy,4.6,"['Mystery', 'Thriller']","['town', 'run', 'discovers']",[15 21],['Mystery' 'Thriller'],7054,[85 70 16],['town' 'run' 'discovers']
2916,,15,R,Paramount Pictures,Shutter Island,8.2,"['Mystery', 'Thriller']",['order'],[15 21],['Mystery' 'Thriller'],5921,[62],['order']
2917,,15,R,Largo Entertainment,Shadow of Doubt,5.2,"['Mystery', 'Thriller']","['ex', 'daughter', 'home']",[15 21],['Mystery' 'Thriller'],4735,[20 11 38],['ex' 'daughter' 'home']
2918,,18,R,Highland Film Group (HFG),Looking Glass,4.7,"['Mystery', 'Thriller']","['couple', 'mysterious']",[15 21],['Mystery' 'Thriller'],4108,[ 9 58],['couple' 'mysterious']
2919,,18,R,Initial Entertainment Group (IEG),Liebestraum,5.9,"['Mystery', 'Thriller']","['murder', 'mother', 'life', 'team', 'york', 'returns', 'years', 'wife', 'college', 'love', 'new', 'friend', 'past', 'old']",[15 21],['Mystery' 'Thriller'],4345,[57 56 45 82 98 69 97 91  7 51 59 29 63 61],"['murder' 'mother' 'life' 'team' 'york' 'returns' 'years' 'wife' 'college'
 'love' 'new' 'friend' 'past' 'old']"
2920,,,PG,Manchester Pictures,The Work and the Glory,6.5,"['Romance', 'Drama']","['soon', 'daughter', 'york', 'family', 'help', 'way', 'discover', 'new']",[18  7],['Romance' 'Drama'],5130,[77 11 98 22 36 90 15 59],['soon' 'daughter' 'york' 'family' 'help' 'way' 'discover' 'new']
2921,,12,,Green Light Pictures,First Love,4.7,['Romance'],"['look', 'story', 'man', 'young']",[18],['Romance'],3881,[50 79 53 99],['look' 'story' 'man' 'young']
2922,,12,PG-13,Lakeshore Entertainment,'Til There Was You,4.8,"['Romance', 'Comedy']",[],[18  4],['Romance' 'Comedy'],4719,[],[]
2923,,15,R,Foundation Entertainment,Kiss Me Again,4.9,"['Romance', 'Drama']","['forced', 'relationship', 'woman', 'couple', 'love']",[18  7],['Romance' 'Drama'],3514,[28 68 92  9 51],['forced' 'relationship' 'woman' 'couple' 'love']
2924,,18,R,Centurion,A House in the Hills,5.6,"['Romance', 'Thriller']","['gets', 'ex', 'finds', 'job']",[18 21],['Romance' 'Thriller'],1987,[32 20 26 41],['gets' 'ex' 'finds' 'job']
2925,,,PG-13,Edgewood Studios,Time Chasers,2.4,['Sci-Fi'],"['evil', 'comes', 'time']",[19],['Sci-Fi'],2948,[19  8 84],['evil' 'comes' 'time']
2926,,,R,Cue Mark Films,Shortwave,4.0,"['Sci-Fi', 'Thriller']",['best'],[19 21],['Sci-Fi' 'Thriller'],2487,[3],['best']
2927,,,Unrated,Bare Knuckle Pictures,Cruel & Unusual,6.6,"['Sci-Fi', 'Thriller']","['death', 'finds', 'wife', 'man', 'mysterious']",[19 21],['Sci-Fi' 'Thriller'],1150,[14 26 91 53 58],['death' 'finds' 'wife' 'man' 'mysterious']
2928,,15,,ULTRAMEDIA,2307: Winter's Dream,3.8,['Sci-Fi'],[],[19],['Sci-Fi'],7636,[],[]
2929,,15,,Bloody Disgusting,Doors,3.6,['Sci-Fi'],"['takes', 'people', 'mysterious']",[19],['Sci-Fi'],1436,[81 64 58],['takes' 'people' 'mysterious']
2930,,15,,El Camino Films,The Speed of Thought,4.8,"['Sci-Fi', 'Thriller']",[],[19 21],['Sci-Fi' 'Thriller'],2962,[],[]
2931,,15,Not Rated,Spoke Lane Entertainment,Beyond White Space,4.5,"['Sci-Fi', 'Thriller']",[],[19 21],['Sci-Fi' 'Thriller'],7031,[],[]
2932,,15,PG,JF Productions,Brainstorm,6.4,"['Sci-Fi', 'Thriller']",['people'],[19 21],['Sci-Fi' 'Thriller'],4442,[64],['people']
2933,,15,PG-13,Relativity Media,Limitless,7.4,"['Sci-Fi', 'Thriller']","['world', 'new', 'mysterious']",[19 21],['Sci-Fi' 'Thriller'],6424,[95 59 58],['world' 'new' 'mysterious']
2934,,15,PG-13,Warner Bros.,The Invasion,5.9,"['Sci-Fi', 'Thriller']","['son', 'way', 'discovers']",[19 21],['Sci-Fi' 'Thriller'],7819,[76 90 16],['son' 'way' 'discovers']
2935,,15,R,VMI Worldwide,The Humanity Bureau,4.5,"['Sci-Fi', 'Thriller']","['set', 'world', 'year']",[19 21],['Sci-Fi' 'Thriller'],7699,[74 95 96],['set' 'world' 'year']
2936,,18,R,Canadian Entertainment Investors Number One and Company Limited Partnership,Food of the Gods II,4.0,"['Sci-Fi', 'Horror']","['gets', 'follows', 'man']",[19 12],['Sci-Fi' 'Horror'],1831,[32 27 53],['gets' 'follows' 'man']
2937,,Not Rated,,Latest Trick Productions,Infinity Chamber,6.2,"['Sci-Fi', 'Thriller']","['order', 'prison', 'man']",[19 21],['Sci-Fi' 'Thriller'],4749,[62 66 53],['order' 'prison' 'man']
2938,,PG,Not Rated,Space Ace Media,95ers: Echoes,4.3,"['Sci-Fi', 'Thriller']","['future', 'save', 'agent', 'time', 'fight']",[19 21],['Sci-Fi' 'Thriller'],6994,[31 71  0 84 24],['future' 'save' 'agent' 'time' 'fight']
2939,,,,Stanulis Films,Chronicle of a Serial Killer,3.8,['Thriller'],"['killer', 'goes']",[21],['Thriller'],7056,[44 34],['killer' 'goes']
2940,,,,RiverRain Productions,Gone,7.1,['Thriller'],[],[21],['Thriller'],6499,[],[]
2942,,,Not Rated,Granfalloon Productions,Indiscretion,4.8,['Thriller'],"['life', 'woman', 'comes']",[21],['Thriller'],3857,[45 92  8],['life' 'woman' 'comes']
2943,,,Not Rated,Visual Arts Entertainment,My Trip Back to the Dark Side,4.4,['Thriller'],"['make', 'time']",[21],['Thriller'],7768,[52 84],['make' 'time']
2945,,,PG-13,51 Millimeter,Til Death Do Us Part,4.7,['Thriller'],"['best', 'meets', 'lives', 'love', 'help', 'discovers', 'new', 'friend', 'day']",[21],['Thriller'],167,[ 3 54 46 51 36 16 59 29 12],['best' 'meets' 'lives' 'love' 'help' 'discovers' 'new' 'friend' 'day']
2946,,,R,Breaking Point Productions,Impact Point,4.2,['Thriller'],[],[21],['Thriller'],1598,[],[]
2947,,,R,Middle Fork Productions,The Canyon,5.8,['Thriller'],"['story', 'couple']",[21],['Thriller'],5308,[79  9],['story' 'couple']
2948,,,R,Ten/Four Pictures,Order of Chaos,4.5,['Thriller'],"['just', 'world']",[21],['Thriller'],7308,[43 95],['just' 'world']
2949,,,TV-MA,Lakeview Pictures,Boyne Falls,4.3,['Thriller'],"['work', 'lives']",[21],['Thriller'],4721,[94 46],['work' 'lives']
2950,,,,The Marlowe-Pugnetti Company,Graves End,8.6,"['Thriller', 'Mystery']","['ex', 'town', 'agent', 'turns', 'comes', 'discovers']",[21 15],['Thriller' 'Mystery'],7391,[20 85  0 88  8 16],['ex' 'town' 'agent' 'turns' 'comes' 'discovers']
2951,,,R,"""Chaos",Dead for a Dollar,5.4,"['Thriller', 'Western']","['prison', 'years']",[21 23],['Thriller' 'Western'],3,[66 97],['prison' 'years']
2952,,15,Not Rated,Blumhouse Productions,Not Safe for Work,5.8,['Thriller'],['killer'],[21],['Thriller'],1486,[44],['killer']
2953,,15,Not Rated,Modoc Spring,The Suspect,5.7,['Thriller'],"['small', 'town', 'takes', 'american']",[21],['Thriller'],5385,[75 85 81  1],['small' 'town' 'takes' 'american']
2954,,15,Not Rated,Canadian Film or Video Production Tax Credit (CPTC),Suddenly,3.6,['Thriller'],['secret'],[21],['Thriller'],1835,[73],['secret']
2955,,15,R,John Paul the Great Universtiy,Red Line,4.9,['Thriller'],"['soon', 'stop', 'people']",[21],['Thriller'],4506,[77 78 64],['soon' 'stop' 'people']
2956,,15,R,Hidden Empire Film Group (HEFG),Fatale,5.4,['Thriller'],"['finds', 'night', 'police', 'man']",[21],['Thriller'],4089,[26 60 65 53],['finds' 'night' 'police' 'man']
2957,,15,R,Brave Carrot,Till Death,5.9,['Thriller'],"['dead', 'husband', 'woman']",[21],['Thriller'],1587,[13 40 92],['dead' 'husband' 'woman']
2958,,15,R,SP Media Group,Crawlspace,4.7,['Thriller'],"['finds', 'family', 'man']",[21],['Thriller'],6614,[26 22 53],['finds' 'family' 'man']
2959,,15,TV-14,Hybrid,Secret Obsession,4.5,['Thriller'],"['life', 'returns']",[21],['Thriller'],4206,[45 69],['life' 'returns']
2960,,15,TV-MA,Reel Fire Entertainment,Beneath the Leaves,4.5,['Thriller'],"['small', 'town']",[21],['Thriller'],6413,[75 85],['small' 'town']
2961,,15,Unrated,Matt Kelly Films,Way of the Wicked,3.8,['Thriller'],"['small', 'father', 'local', 'police', 'goes']",[21],['Thriller'],5202,[75 23 48 65 34],['small' 'father' 'local' 'police' 'goes']
2962,,18,R,Jeff Rice Films,The Institute,4.2,['Thriller'],[],[21],['Thriller'],4483,[],[]
2963,,18,R,Baltimore Pictures,Hider in the House,5.9,['Thriller'],"['house', 'family', 'man', 'new']",[21],['Thriller'],1119,[39 22 53 59],['house' 'family' 'man' 'new']
2964,,18,TV-MA,Hyrax Entertainment,The Employer,4.4,['Thriller'],"['night', 'job', 'day']",[21],['Thriller'],4218,[60 41 12],['night' 'job' 'day']
2965,,,Not Rated,Single Malt Productions,The Outsider,4.7,['Western'],"['finds', 'town', 'life', 'group', 'family']",[23],['Western'],6885,[26 85 45 35 22],['finds' 'town' 'life' 'group' 'family']
2966,,0+,G,Paramount Pictures,Jimmy Neutron: Boy Genius,6.1,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['boy', 'friends', 'year', 'old']",[ 2  0  1  4  8 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Sci-Fi'],5921,[ 4 30 96 61],['boy' 'friends' 'year' 'old']
2967,,12,PG-13,DC Comics,Justice Society: World War II,6.4,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['future', 'war', 'world', 'group']",[ 2  0  1  9 19],['Animation' 'Action' 'Adventure' 'Fantasy' 'Sci-Fi'],2515,[31 89 95 35],['future' 'war' 'world' 'group']
2968,,12A,PG-13,Paramount Pictures,Beowulf,6.3,"['Animation', 'Action', 'Adventure', 'Fantasy']","['mother', 'begins', 'fight']",[2 0 1 9],['Animation' 'Action' 'Adventure' 'Fantasy'],5921,[56  2 24],['mother' 'begins' 'fight']
2969,,15,Not Rated,Bioware,Dragon Age: Dawn of the Seeker,5.7,"['Animation', 'Action', 'Adventure', 'Fantasy']","['order', 'save', 'stop', 'young', 'friend', 'day']",[2 0 1 9],['Animation' 'Action' 'Adventure' 'Fantasy'],1351,[62 71 78 99 29 12],['order' 'save' 'stop' 'young' 'friend' 'day']
2970,,15,PG-13,DC Comics,Green Lantern: Beware My Power,6.2,"['Animation', 'Action', 'Adventure', 'Sci-Fi']",['life'],[ 2  0  1 19],['Animation' 'Action' 'Adventure' 'Sci-Fi'],2515,[45],['life']
2971,,15,R,Warner Bros. Animation,Batman: Soul of the Dragon,6.1,"['Animation', 'Action', 'Adventure', 'Crime']",[],[2 0 1 5],['Animation' 'Action' 'Adventure' 'Crime'],7820,[],[]
2972,,15,R,DC Entertainment,Batman: Gotham by Gaslight,6.7,"['Animation', 'Action', 'Adventure', 'Crime', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","['crime', 'city', 'war', 'begins', 'new']",[ 2  0  1  5  9 12 15 21],"['Animation' 'Action' 'Adventure' 'Crime' 'Fantasy' 'Horror' 'Mystery'
 'Thriller']",2516,[10  6 89  2 59],['crime' 'city' 'war' 'begins' 'new']
2973,,15,R,Adult Swim,Aqua Teen Hunger Force Colon Movie Film for Theaters,6.7,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",[],[ 2  0  1  4  9 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Fantasy' 'Sci-Fi'],415,[],[]
2974,,18,R,DC Entertainment,Mortal Kombat Legends: Battle of the Realms,6.5,"['Animation', 'Action', 'Adventure', 'Fantasy']","['evil', 'journey', 'fight']",[2 0 1 9],['Animation' 'Action' 'Adventure' 'Fantasy'],2516,[19 42 24],['evil' 'journey' 'fight']
2975,,9+,PG,Mandeville Films,Chip 'n Dale: Rescue Rangers,7.0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']","['save', 'years', 'lives', 'friend']",[ 2  0  1  4  5  8  9 15 19],"['Animation' 'Action' 'Adventure' 'Comedy' 'Crime' 'Family' 'Fantasy'
 'Mystery' 'Sci-Fi']",5135,[71 97 46 29],['save' 'years' 'lives' 'friend']
2976,,PG,PG,DreamWorks Animation,Rise of the Guardians,7.2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['evil', 'team', 'world']",[2 0 1 4 7 8 9],['Animation' 'Action' 'Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy'],2849,[19 82 95],['evil' 'team' 'world']
2977,,PG,PG,Walt Disney Pictures,Incredibles 2,7.6,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['house', 'save', 'takes', 'wife', 'world', 'goes', 'family', 'new']",[ 2  0  1  4  8 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Sci-Fi'],7807,[39 71 81 91 95 34 22 59],['house' 'save' 'takes' 'wife' 'world' 'goes' 'family' 'new']
2978,,PG,PG,Menithings Productions,Battle for Terra,6.5,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi', 'Thriller']",['stop'],[ 2  0  1  8 19 21],['Animation' 'Action' 'Adventure' 'Family' 'Sci-Fi' 'Thriller'],5267,[78],['stop']
2979,,PG,PG,Warner Bros.,The Iron Giant,8.1,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi']","['boy', 'agent', 'young']",[ 2  0  1  4  7  8 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Drama' 'Family' 'Sci-Fi'],7819,[ 4  0 99],['boy' 'agent' 'young']
2980,,PG,PG,Sony Pictures Entertainment (SPE),Spider-Man: Into the Spider-Verse,8.4,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['stop', 'man']",[ 2  0  1  4  8  9 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Fantasy' 'Sci-Fi'],6976,[78 53],['stop' 'man']
2981,,PG,PG,Walt Disney Pictures,Mars Needs Moms,5.4,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']","['boy', 'young']",[ 2  0  1  8 19],['Animation' 'Action' 'Adventure' 'Family' 'Sci-Fi'],7807,[ 4 99],['boy' 'young']
2982,,PG,PG,DreamWorks Animation,Kung Fu Panda 2,7.2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['stop', 'friends', 'fight', 'new', 'past']",[2 0 1 4 7 8 9],['Animation' 'Action' 'Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy'],2849,[78 30 24 59 63],['stop' 'friends' 'fight' 'new' 'past']
2983,,PG,PG,Animal Logic,The Lego Ninjago Movie,6.0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']","['evil', 'son', 'help']",[ 2  0  1  4  7  8  9 19 21],"['Animation' 'Action' 'Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy'
 'Sci-Fi' 'Thriller']",666,[19 76 36],['evil' 'son' 'help']
2984,,U,PG,Walt Disney Pictures,Onward,7.4,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['father', 'set', 'world', 'day']",[ 2  0  1  4  8  9 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Fantasy' 'Sci-Fi'],7807,[23 74 95 12],['father' 'set' 'world' 'day']
2985,,U,PG,DreamWorks Animation,Captain Underpants: The First Epic Movie,6.2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",[],[ 2  0  1  4  8 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Sci-Fi'],2849,[],[]
2986,,U,PG,Warner Bros.,The Lego Movie,7.7,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['evil', 'stop']",[ 2  0  1  4  8  9 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Fantasy' 'Sci-Fi'],7819,[19 78],['evil' 'stop']
2987,,U,PG,Twentieth Century Fox Animation,Epic,6.6,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['evil', 'finds', 'save', 'world', 'group']",[ 2  0  1  8  9 15],['Animation' 'Action' 'Adventure' 'Family' 'Fantasy' 'Mystery'],7611,[19 26 71 95 35],['evil' 'finds' 'save' 'world' 'group']
2988,,12,PG-13,Touchstone Pictures,Hidalgo,6.7,"['Action', 'Adventure', 'Biography', 'Drama', 'Sport', 'Western']",[],[ 0  1  3  7 20 23],['Action' 'Adventure' 'Biography' 'Drama' 'Sport' 'Western'],7537,[],[]
2989,,12,PG-13,Warner Bros.,In the Heart of the Sea,6.9,"['Action', 'Adventure', 'Biography', 'Drama', 'History']",['new'],[ 0  1  3  7 11],['Action' 'Adventure' 'Biography' 'Drama' 'History'],7819,[59],['new']
2990,,12,PG-13,Warner Bros.,Invictus,7.3,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Sport', 'Thriller']","['team', 'world']",[ 0  1  3  7 11 20 21],['Action' 'Adventure' 'Biography' 'Drama' 'History' 'Sport' 'Thriller'],7819,[82 95],['team' 'world']
2991,,,Not Rated,The Asylum,Mega Shark vs. Mecha Shark,2.6,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']","['death', 'people', 'way', 'fight', 'new']",[ 0  1  4 12 19 21],['Action' 'Adventure' 'Comedy' 'Horror' 'Sci-Fi' 'Thriller'],7322,[14 64 90 24 59],['death' 'people' 'way' 'fight' 'new']
2992,,,PG,Providence Entertainment,Extremedays,5.7,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sport']","['meets', 'friends', 'lives']",[ 0  1  4  7 18 20],['Action' 'Adventure' 'Comedy' 'Drama' 'Romance' 'Sport'],6227,[54 30 46],['meets' 'friends' 'lives']
2993,,,PG,Dead Gentlemen Productions,The Gamers: Dorkness Rising,7.3,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['takes', 'friends', 'group', 'people']",[0 1 4 9],['Action' 'Adventure' 'Comedy' 'Fantasy'],2636,[81 30 35 64],['takes' 'friends' 'group' 'people']
2995,,,R,Little Dragon Productions,Rise of the Dinosaurs,2.4,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']","['long', 'group']",[ 0  1  4  9 12 19 21],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Horror' 'Sci-Fi' 'Thriller'],4878,[49 35],['long' 'group']
2996,,,R,Concorde-New Horizons,Dinocroc,3.4,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']",[],[ 0  1  4 12 19 21],['Action' 'Adventure' 'Comedy' 'Horror' 'Sci-Fi' 'Thriller'],2333,[],[]
2997,,12,Not Rated,Lawson Digital,Mega Shark vs. Kolossus,2.7,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']","['war', 'time', 'new']",[ 0  1  4 12 19 21],['Action' 'Adventure' 'Comedy' 'Horror' 'Sci-Fi' 'Thriller'],4764,[89 84 59],['war' 'time' 'new']
2998,,12,PG,Warner Bros.,Innerspace,6.8,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']",['secret'],[ 0  1  4 19 21],['Action' 'Adventure' 'Comedy' 'Sci-Fi' 'Thriller'],7819,[73],['secret']
2999,,12,PG,Universal Pictures,Howard the Duck,4.7,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']","['stop', 'help']",[ 0  1  4 18 19],['Action' 'Adventure' 'Comedy' 'Romance' 'Sci-Fi'],7676,[78 36],['stop' 'help']
3000,,12,PG-13,Warner Bros.,The Losers,6.2,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']","['dead', 'team']",[ 0  1  4  5 15 21],['Action' 'Adventure' 'Comedy' 'Crime' 'Mystery' 'Thriller'],7819,[13 82],['dead' 'team']
3001,,12,PG-13,Beyond Infinity,Cannibal Women in the Avocado Jungle of Death,4.8,"['Action', 'Adventure', 'Comedy', 'Horror', 'Romance']","['women', 'make', 'men']",[ 0  1  4 12 18],['Action' 'Adventure' 'Comedy' 'Horror' 'Romance'],1288,[93 52 55],['women' 'make' 'men']
3002,,12,PG-13,Twentieth Century Fox,Knight and Day,6.3,"['Action', 'Adventure', 'Comedy']","['gets', 'woman', 'young']",[0 1 4],['Action' 'Adventure' 'Comedy'],7610,[32 92 99],['gets' 'woman' 'young']
3003,,12,PG-13,Dimension Films,The Brothers Grimm,5.9,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",['true'],[ 0  1  4  9 12 15 21],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Horror' 'Mystery' 'Thriller'],2743,[87],['true']
3004,,12,PG-13,Sleeping Marmots Production,Delta Farce,3.6,"['Action', 'Adventure', 'Comedy']",[],[0 1 4],['Action' 'Adventure' 'Comedy'],6930,[],[]
3005,,12,PG-13,21 Laps Entertainment,The Adam Project,6.7,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['future', 'save', 'year', 'time', 'old']",[ 0  1  4 19],['Action' 'Adventure' 'Comedy' 'Sci-Fi'],74,[31 71 96 84 61],['future' 'save' 'year' 'time' 'old']
3006,,12,PG-13,Warner Bros.,Get Smart,6.5,"['Action', 'Adventure', 'Comedy']",[],[0 1 4],['Action' 'Adventure' 'Comedy'],7819,[],[]
3007,,12,PG-13,Paramount Pictures,Love and Monsters,6.9,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['school', 'high', 'years']",[ 0  1  4  9 19],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Sci-Fi'],5921,[72 37 97],['school' 'high' 'years']
3008,,12,PG-13,Netflix,The Man from Toronto,5.8,"['Action', 'Adventure', 'Comedy', 'Thriller']","['york', 'world', 'new']",[ 0  1  4 21],['Action' 'Adventure' 'Comedy' 'Thriller'],5567,[98 95 59],['york' 'world' 'new']
3009,,12,PG-13,Summit Entertainment,Now You See Me 2,6.4,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",[],[ 0  1  4  5 15 21],['Action' 'Adventure' 'Comedy' 'Crime' 'Mystery' 'Thriller'],7178,[],[]
3010,,12,PG-13,20th Century Studios,Free Guy,7.1,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['story', 'takes', 'world', 'goes']",[ 0  1  4  9 19],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Sci-Fi'],72,[79 81 95 34],['story' 'takes' 'world' 'goes']
